Address	Function	Source Location	Binary Location	Occurrences	Recursion in Percent	Samples	Samples in Percent	Self Samples	Self in Percent
0x0000000000000000				5	0	5	0	0	0
0x0000000000000003				3	0	3	0	0	0
0x000000000000000d				1	0	1	0	0	0
0x0000000000000029				1	0	1	0	0	0
0x0000000000000044				3	0	3	0	0	0
0x00000000000003ff				1	0	1	0	0	0
0x00000fca39f7260a	main	main.cpp:50	Megaminx	5	0	5	0	0	0
0x00000fca39f7270e	main	main.cpp:82	Megaminx	9	0	9	0.10000000149011612	0	0
0x00000fca39f7274a	main	main.cpp:91	Megaminx	5166	0	5166	94.5	0	0
0x00000fca39f72794	_start		Megaminx	5178	0	5178	94.69999694824219	0	0
0x00000fca39f72a68	myglutRenderScene()	main.cpp:112	Megaminx	182	0	182	3.299999952316284	0	0
0x00000fca39f72aa6	myglutRenderScene()	main.cpp:119	Megaminx	1	0	1	0	0	0
0x00000fca39f72acb	myglutRenderScene()	main.cpp:120	Megaminx	5	0	5	0	0	0
0x00000fca39f72ad1	utDrawText2D(float, float, char const*)	opengl.h:25	Megaminx	1	0	1	0	0	0
0x00000fca39f72ad1	myglutRenderScene()	main.cpp:123	Megaminx	1	0	1	0	0	0
0x00000fca39f72aef	utDrawText2D(float, float, char const*)	opengl.h:26	Megaminx	1	0	1	0	0	0
0x00000fca39f72c68	myglutRenderScene()	main.cpp:133	Megaminx	2	0	2	0	0	0
0x00000fca39f72c68	utDrawText2D(float, float, char const*)	opengl.h:25	Megaminx	2	0	2	0	0	0
0x00000fca39f72c86	utDrawText2D(float, float, char const*)	opengl.h:26	Megaminx	2	0	2	0	0	0
0x00000fca39f7602b	utDrawText2D(float, float, void*, char const*)	opengl.cpp:51	Megaminx	3	0	3	0	0	0
0x00000fca39f7606b	utDrawText3D(float, float, float, void*, char const*)	opengl.cpp:61	Megaminx	180	0	180	3.200000047683716	0	0
0x00000fca39f760cf	utCalculateAndPrintAngles(float, float, double, double)	opengl.cpp:70	Megaminx	2	0	2	0	0	0
0x00000fca39f760cf	utDrawText2D(float, float, void*, char const*)	opengl.cpp:45	Megaminx	2	0	2	0	0	0
0x00000fca39f760cf	utDrawText2D(float, float, char const*)	opengl.h:26	Megaminx	2	0	2	0	0	0
0x00000fca39f76103	utDrawText2D(float, float, void*, char const*)	opengl.cpp:51	Megaminx	2	0	2	0	0	0
0x00000fca39f7610e	utCalculateAndPrintAngles(float, float, double, double)	opengl.cpp:71	Megaminx	1	0	1	0	0	0
0x00000fca39f7610e	utCalculateAndPrintAngles(float, float, double, double)::snprintf	stdio2.h:51	Megaminx	1	0	1	0	0	0
0x00000fca39f76135	utCalculateAndPrintAngles(float, float, double, double)::snprintf	stdio2.h:54	Megaminx	1	0	1	0	0	0
0x00000fca39f76136	utCalculateAndPrintAngles(float, float, double, double)	opengl.cpp:72	Megaminx	2	0	2	0	0	0
0x00000fca39f76136	utDrawText2D(float, float, char const*)	opengl.h:26	Megaminx	2	0	2	0	0	0
0x00000fca39f76136	utDrawText2D(float, float, void*, char const*)	opengl.cpp:45	Megaminx	2	0	2	0	0	0
0x00000fca39f7617b	utDrawText2D(float, float, void*, char const*)	opengl.cpp:51	Megaminx	2	0	2	0	0	0
0x00000fca39f761da	utDrawText2D(float, float, char const*)	opengl.h:26	Megaminx	1	0	1	0	0	0
0x00000fca39f761da	utCalculateAndPrintFps(float, float)	opengl.cpp:88	Megaminx	1	0	1	0	0	0
0x00000fca39f761da	utDrawText2D(float, float, void*, char const*)	opengl.cpp:45	Megaminx	1	0	1	0	0	0
0x00000fca39f7620b	utDrawText2D(float, float, void*, char const*)	opengl.cpp:51	Megaminx	1	0	1	0	0	0
0x00000fca39f76f87	Corner::render() const	corner.cpp:111	Megaminx	47	0	47	0.800000011920929	0	0
0x00000fca39f77922	Edge::render() const	edge.cpp:108	Megaminx	97	0	97	1.7000000476837158	0	0
0x00000fca39f7c6f3	Face::render()	face.cpp:330	Megaminx	6	0	6	0.10000000149011612	0	0
0x00000fca39f7c6fc	Face::render()	face.cpp:331	Megaminx	4	0	4	0	0	0
0x00000fca39f7c70d	Face::render()	face.cpp:333	Megaminx	1	0	1	0	0	0
0x00000fca39f7d87b	Megaminx::render()	megaminx.cpp:93	Megaminx	38	0	38	0.6000000238418579	0	0
0x00000fca39f7d8be	Megaminx::render()	megaminx.cpp:97	Megaminx	92	0	92	1.600000023841858	0	0
0x00000fca39f7d8c6	Megaminx::render()	megaminx.cpp:102	Megaminx	1	0	1	0	1	0
0x00000fca39f7d90e	Megaminx::render()	megaminx.cpp:103	Megaminx	40	0	40	0.699999988079071	0	0
0x00000fca39f7d95e	Megaminx::render()	megaminx.cpp:110	Megaminx	11	0	11	0.20000000298023224	0	0
0x00000fca39f7e0c8	Megaminx::findEdge(int)	megaminx.cpp:516	Megaminx	4962	0	4962	90.80000305175781	4962	90.80000305175781
0x00000fca39f8968a	Megaminx::DetectSolvedEdgesUnOrdered(int, bool*)	solve.cpp:13	Megaminx	4962	0	4962	90.80000305175781	0	0
0x00000fca39f89a81	Megaminx::rotateSolveWhiteEdges(Megaminx*)	solve.cpp:204	Megaminx	4962	0	4962	90.80000305175781	0	0
0x00000fca39f92949	menuHandler(int)	main-menu.cpp:525	Megaminx	4962	0	4962	90.80000305175781	0	0
0x00000fca39f93189	myglutOnSpecialKeyPress(int, int, int)	main-menu.cpp:161	Megaminx	4962	0	4962	90.80000305175781	0	0
0x00000fca39f93578	createMenu()	main-menu.cpp:278	Megaminx	3	0	3	0	0	0
0x00000fca39f93630	createMenu()	main-menu.cpp:292	Megaminx	6	0	6	0.10000000149011612	0	0
0x00000fca74d16eef				1	0	1	0	0	0
0x00000fca74d5a28f				1	0	1	0	0	0
0x00000fca74d6d46f				1	0	1	0	0	0
0x00000fca74de15bf				1	0	1	0	0	0
0x00000fca74f2621f				1	0	1	0	0	0
0x00000fca74f32067				1	0	1	0	0	0
0x00000fca74f4c1ef				6	0	6	0.10000000149011612	0	0
0x00000fca74f86077				2	0	2	0	0	0
0x00000fca74f86377				3	0	3	0	0	0
0x00000fca74fb0dcf				6	0	6	0.10000000149011612	0	0
0x00000fca74fb4fff				1	0	1	0	0	0
0x00000fca755881cf				3	0	3	0	0	0
0x00000fca759250ff				1	0	1	0	0	0
0x00000fca7592887f				2	0	2	0	0	0
0x00000fca7593cbff				8	0	8	0.10000000149011612	0	0
0x00000fca7593fe3f				1	0	1	0	0	0
0x0000603c1801233f				1	0	1	0	0	0
0x0000603c2c0d026d	amdgpu_cs_submit_raw2		libdrm_amdgpu.so.1.0.0	5	0	5	0	0	0
0x0000603c2c0d1b14				1	0	1	0	1	0
0x0000603c2c0d207c	amdgpu_va_range_alloc		libdrm_amdgpu.so.1.0.0	1	0	1	0	0	0
0x0000603c2c1b0edf	crc32_z		libz.so.1.2.13	1	0	1	0	1	0
0x0000603c2cd62187	llvm::SmallVectorBase<unsigned int>::grow_pod(void*, unsigned long, unsigned long)		libLLVM-16.so	1	0	1	0	0	0
0x0000603c2ce067e4	llvm::AttributeList::get(llvm::LLVMContext&, llvm::ArrayRef<std::pair<unsigned int, llvm::AttributeSet> >)		libLLVM-16.so	1	0	1	0	0	0
0x0000603c2ceda3cc	llvm::Intrinsic::getAttributes(llvm::LLVMContext&, unsigned int)		libLLVM-16.so	1	0	1	0	0	0
0x0000603c2cf2922a	llvm::PMDataManager::findAnalysisPass(void const*, bool)		libLLVM-16.so	1	0	1	0	1	0
0x0000603c2cf293b9	llvm::PMTopLevelManager::findAnalysisPass(void const*)		libLLVM-16.so	1	0	1	0	0	0
0x0000603c2cf2dbba	llvm::PMTopLevelManager::findAnalysisUsage(llvm::Pass*)		libLLVM-16.so	1	0	1	0	0	0
0x0000603c2cf2e996	llvm::PMTopLevelManager::setLastUser(llvm::ArrayRef<llvm::Pass*>, llvm::Pass*)		libLLVM-16.so	1	0	1	0	1	0
0x0000603c2cf32829	llvm::FPPassManager::runOnFunction(llvm::Function&)		libLLVM-16.so	2	0	2	0	0	0
0x0000603c2cf32af2	llvm::FPPassManager::runOnModule(llvm::Module&)		libLLVM-16.so	1	0	1	0	0	0
0x0000603c2cf33210	llvm::legacy::PassManagerImpl::run(llvm::Module&)		libLLVM-16.so	3	0	3	0	0	0
0x0000603c2cf3363b	llvm::PMTopLevelManager::schedulePass(llvm::Pass*)		libLLVM-16.so	1	0	1	0	0	0
0x0000603c2cf3366e	llvm::PMTopLevelManager::schedulePass(llvm::Pass*)		libLLVM-16.so	1	0	1	0	0	0
0x0000603c2cf33812	llvm::PMTopLevelManager::schedulePass(llvm::Pass*)		libLLVM-16.so	1	0	1	0	0	0
0x0000603c2cf3385f	llvm::PMTopLevelManager::schedulePass(llvm::Pass*)		libLLVM-16.so	1	0	1	0	0	0
0x0000603c2cf34b03	llvm::PMDataManager::add(llvm::Pass*, bool)		libLLVM-16.so	1	0	1	0	0	0
0x0000603c2cf67037	llvm::Pass::createPass(void const*)		libLLVM-16.so	1	0	1	0	0	0
0x0000603c2cf72c9b	llvm::PassRegistry::getPassInfo(void const*) const		libLLVM-16.so	1	0	1	0	1	0
0x0000603c2d01d1c0				1	0	1	0	1	0
0x0000603c2d0ca5fb				1	0	1	0	0	0
0x0000603c2d16fc73				2	0	2	0	0	0
0x0000603c2d16fc83				2	0	2	0	0	0
0x0000603c2d173664	llvm::LLVMTargetMachine::addPassesToEmitFile(llvm::legacy::PassManagerBase&, llvm::raw_pwrite_stream&, llvm::raw_pwrite_stream*, llvm::CodeGenFileType, bool, llvm::MachineModuleInfoWrapperPass*)		libLLVM-16.so	4	0	4	0	0	0
0x0000603c2d1edfd8	llvm::MachineFunctionPass::runOnFunction(llvm::Function&)		libLLVM-16.so	1	0	1	0	0	0
0x0000603c2d2723d4	llvm::MachineRegisterInfo::isPhysRegUsed(llvm::MCRegister, bool) const		libLLVM-16.so	1	0	1	0	1	0
0x0000603c2d272524	llvm::MachineRegisterInfo::isPhysRegUsed(llvm::MCRegister, bool) const		libLLVM-16.so	1	0	1	0	1	0
0x0000603c2d30e6b1				1	0	1	0	1	0
0x0000603c2d30e80d				1	0	1	0	0	0
0x0000603c2d32317e				1	0	1	0	0	0
0x0000603c2d436931	llvm::TargetLoweringBase::computeRegisterProperties(llvm::TargetRegisterInfo const*)		libLLVM-16.so	1	0	1	0	0	0
0x0000603c2d44e465	llvm::TargetPassConfig::addPass(llvm::Pass*)		libLLVM-16.so	1	0	1	0	0	0
0x0000603c2d44e52c	llvm::TargetPassConfig::addPass(llvm::Pass*)		libLLVM-16.so	2	0	2	0	0	0
0x0000603c2d44e9d7	llvm::TargetPassConfig::addPass(void const*)		libLLVM-16.so	1	0	1	0	0	0
0x0000603c2d44e9f7	llvm::TargetPassConfig::addPass(void const*)		libLLVM-16.so	1	0	1	0	0	0
0x0000603c2d44eaea	llvm::TargetPassConfig::addOptimizedRegAlloc()		libLLVM-16.so	1	0	1	0	0	0
0x0000603c2d44eb20	llvm::TargetPassConfig::addOptimizedRegAlloc()		libLLVM-16.so	1	0	1	0	0	0
0x0000603c2d44f46b	llvm::TargetPassConfig::addMachinePasses()		libLLVM-16.so	2	0	2	0	0	0
0x0000603c2d44fecf	llvm::TargetPassConfig::addIRPasses()		libLLVM-16.so	1	0	1	0	0	0
0x0000603c2d44fedf	llvm::TargetPassConfig::addIRPasses()		libLLVM-16.so	1	0	1	0	0	0
0x0000603c2d450140	llvm::TargetPassConfig::addISelPasses()		libLLVM-16.so	2	0	2	0	0	0
0x0000603c2d6b479b	llvm::SelectionDAGBuilder::visitTargetIntrinsic(llvm::CallInst const&, unsigned int)		libLLVM-16.so	1	0	1	0	0	0
0x0000603c2d6cfd6c	llvm::SelectionDAGBuilder::visitIntrinsicCall(llvm::CallInst const&, unsigned int)		libLLVM-16.so	1	0	1	0	0	0
0x0000603c2e42bcd8				1	0	1	0	0	0
0x0000603c2efa7208				1	0	1	0	0	0
0x0000603c2efa7512				1	0	1	0	0	0
0x0000603c2efdc8ff				1	0	1	0	0	0
0x0000603c2efdd79b				1	0	1	0	0	0
0x0000603c2efe795b				1	0	1	0	0	0
0x0000603c2efffff0				1	0	1	0	0	0
0x0000603c2f000491				2	0	2	0	0	0
0x0000603c2f09391f				1	0	1	0	0	0
0x0000603c2f098a9c				1	0	1	0	0	0
0x0000603c2f0d604a				1	0	1	0	0	0
0x0000603c2f10ee8b				1	0	1	0	0	0
0x0000603c2f905281	llvm::ARM::parseArch(llvm::StringRef)		libLLVM-16.so	1	0	1	0	0	0
0x0000603c2f9128f2				1	0	1	0	0	0
